tas,	Year, Month, Country
25.4728,1956,4,87.3119
26.2336,1956,5,242.118
26.8207,1956,6,200.411
26.9298,1956,7,330.315
26.4081,1956,8,330.54
26.1103,1956,9,231.397
24.4196,1956,10,159.779
21.3528,1956,11,94.8356
19.5933,1956,12,28.1846
19.9781,1957,1,16.5506
19.0673,1957,2,24.8185
21.4906,1957,3,105.836
25.2066,1957,4,73.0314
27.2412,1957,5,150.467
26.5876,1957,6,221.549
27.0133,1957,7,254.498
26.9888,1957,8,213.83
26.1092,1957,9,189.699
24.1313,1957,10,231.771
23.146,1957,11,114.019
21.6093,1957,12,28.5903
19.7549,1958,1,44.3655
19.6837,1958,2,39.4062
23.7243,1958,3,25.6713
26.6118,1958,4,48.1203
27.9558,1958,5,130.552
27.2611,1958,6,235.4
27.0144,1958,7,238.915
26.5977,1958,8,223.522
25.82,1958,9,286.886
23.9962,1958,10,231.245
21.4935,1958,11,69.39
20.181,1958,12,23.4729
19.0438,1959,1,13.9816
21.3627,1959,2,25.5618
21.1231,1959,3,58.1292
25.7793,1959,4,62.2848
26.696,1959,5,192.662
27.8151,1959,6,159.195
26.8217,1959,7,246.782
26.7273,1959,8,277.33
25.5741,1959,9,267.778
24.3858,1959,10,149.516
22.9884,1959,11,76.0674
21.6102,1959,12,74.5948
19.9235,1960,1,42.9277
20.6892,1960,2,15.1178
23.4656,1960,3,38.1167
25.1915,1960,4,24.6366
26.616,1960,5,167.332
27.4634,1960,6,201.088
26.7936,1960,7,297.743
27.0188,1960,8,298.016
25.9029,1960,9,278.579
24.3224,1960,10,290.829
23.1757,1960,11,181.341
19.7838,1960,12,49.495
18.8684,1961,1,16.7633
20.1151,1961,2,39.9448
22.5674,1961,3,49.9933
25.4686,1961,4,79.0586
26.7224,1961,5,161.609
27.0669,1961,6,216.878
27.0499,1961,7,238.33
26.7339,1961,8,320.406
25.7667,1961,9,357.624
24.7162,1961,10,296.755
22.3703,1961,11,154.074
20.9435,1961,12,105.554
17.6982,1962,1,27.8227
20.0487,1962,2,13.3585
21.6109,1962,3,48.0702
24.9484,1962,4,76.8722
27.0255,1962,5,155.254
26.76,1962,6,249.024
27.2278,1962,7,199.596
26.6305,1962,8,239.985
26.0034,1962,9,276.677
24.6097,1962,10,131.581
22.2231,1962,11,99.4453
19.9621,1962,12,27.7105
16.9022,1963,1,60.6225
19.4514,1963,2,12.1207
21.4207,1963,3,73.7313
25.2424,1963,4,39.6166
27.5782,1963,5,102.209
27.129,1963,6,232.851
26.7594,1963,7,287.643
26.8958,1963,8,271.739
26.7301,1963,9,300.933
24.5016,1963,10,234.959
23.571,1963,11,276.011
20.3118,1963,12,71.4485
20.3304,1964,1,29.4687
19.4918,1964,2,12.6635
22.0245,1964,3,34.9143
25.9938,1964,4,79.995
26.2458,1964,5,151.032
26.8504,1964,6,261.29
27.2768,1964,7,250.304
26.8687,1964,8,299.021
26.1119,1964,9,263.484
24.9152,1964,10,340.341
21.476,1964,11,165.577
19.2716,1964,12,53.5429
18.9415,1965,1,6.35306
21.5834,1965,2,17.487
21.5191,1965,3,22.8221
25.1663,1965,4,77.7146
26.5358,1965,5,167.692
26.4433,1965,6,306.222
26.8833,1965,7,270.686
26.656,1965,8,177.538
25.4667,1965,9,223.667
25.0273,1965,10,183.016
23.0334,1965,11,153.412
21.2138,1965,12,66.2776
21.17,1966,1,24.2137
22.2144,1966,2,11.913
23.2018,1966,3,96.842
25.685,1966,4,60.2959
25.9648,1966,5,170.643
26.7212,1966,6,264.742
26.9976,1966,7,239.49
26.5349,1966,8,226.016
25.4407,1966,9,204.929
24.993,1966,10,244.65
22.6771,1966,11,130.818
21.5523,1966,12,126.199
18.3702,1967,1,72.0911
19.2135,1967,2,16.7051
22.0908,1967,3,14.9655
24.7257,1967,4,88.283
27.198,1967,5,128.035
27.388,1967,6,198.301
27.0716,1967,7,282.757
26.9386,1967,8,204.428
25.4031,1967,9,266.015
23.6588,1967,10,142.971
22.5287,1967,11,167.032
18.8621,1967,12,35.6541
19.4646,1968,1,19.7309
18.117,1968,2,36.3795
22.004,1968,3,30.9603
24.0121,1968,4,60.0804
26.5141,1968,5,139.793
26.6478,1968,6,207.212
27.2136,1968,7,186.373
26.7745,1968,8,341.414
26.0382,1968,9,328.595
24.2031,1968,10,167.909
23.3394,1968,11,107.247
22.5255,1968,12,34.367
21.0705,1969,1,53.5427
20.3147,1969,2,22.6361
22.3887,1969,3,19.6954
25.5585,1969,4,69.8516
27.545,1969,5,180.842
27.0767,1969,6,206.231
27.0027,1969,7,277.698
26.7354,1969,8,210.241
26.1931,1969,9,247.992
25.0293,1969,10,170.468
21.2686,1969,11,89.4762
19.3018,1969,12,39.4452
19.3506,1970,1,44.1394
21.2954,1970,2,36.7697
21.9056,1970,3,105.861
24.5036,1970,4,76.8441
26.6645,1970,5,172.554
26.8079,1970,6,228.048
26.7906,1970,7,221.354
26.3176,1970,8,277.204
25.7028,1970,9,268.33
23.8125,1970,10,152.543
21.8679,1970,11,170.215
21.0959,1970,12,264.869
17.9642,1971,1,13.5955
19.6489,1971,2,32.1053
21.4407,1971,3,18.3556
25.3796,1971,4,61.7997
26.7587,1971,5,190.003
26.6945,1971,6,254.722
26.6698,1971,7,332.039
26.1227,1971,8,341.976
26.2802,1971,9,234.766
23.3858,1971,10,205.593
20.9406,1971,11,69.843
20.2539,1971,12,113.912
18.6251,1972,1,47.2953
20.3887,1972,2,42.804
21.7258,1972,3,25.2106
23.6969,1972,4,81.4564
27.3367,1972,5,151.225
27.1937,1972,6,209.444
27.0745,1972,7,235.879
26.2675,1972,8,366.248
25.9732,1972,9,239.557
25.4388,1972,10,221.025
23.1756,1972,11,225.688
20.9914,1972,12,206.736
19.8085,1973,1,13.5547
22.8649,1973,2,14.1375
23.623,1973,3,40.9721
26.6165,1973,4,100.283
27.2635,1973,5,191.393
27.5014,1973,6,195
27.0269,1973,7,270.141
26.8035,1973,8,278.58
25.9416,1973,9,340.563
24.2796,1973,10,199.971
21.521,1973,11,165.414
